<level name="Descent..." music="Finding the Balance.mp3">
	<map>
		@ o .
		. o .
		. o .
		. o .
		. o .
		. o .
		. o T
		. o .
		. o .
		. o .
		. o .
		. o .
		. o .
		. o .
		. o .
		. o b
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. w .
		. o r
		. o .
		. o .
		. l .
		. l .
		. l .
		l l l
		l l l
		l l l
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		l l l
		l l l
		l l l
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l l
		l l l
		l l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		l l l
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		l l .
		. l l
		. l l
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		l l .
		l l l
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		l l .
		. l l
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		. l .
		l l .
		l l l
		. l l
		. l .
		. l .
		. l *
	</map>
	<dialog trigger="1,160" blocksGameplay="false">
		<text wait="3">Where are you going?</text>
	</dialog>
	<dialog trigger="1,90" blocksGameplay="false">
		<text wait="3">There's nothing down here...</text>
	</dialog>
</level>
